cell_line	num_reads	LR_num_bases	SR_num_bases
DMS53	4190113	4868902346	10355463126
HCC1187	3778562	4264370898	12422774530
HCC1395	4438263	4929349314	11973804418
K562	6252113	6495127923	11438886314
KIJK	2657580	2892955453	12767236938
MJ	4831401	5028750800	12706593224
RT112	5364382	5883907212	15510503466
SKBR3	3401225	4038932605	12398649864
VCAP	6072217	6509783853	9768178826
