proxy_fusion_name.starF	type.starF	sample.starF	FusionName.starF	lex_ordered_fusion_name	est_J	est_S	proxy_fusion_name.arriba	type.arriba	sample.arriba	FusionName.arriba	sum_split_reads	discordant_mates	progs
NA	NA	NA	NA	VCAP|RNF111--RP5-1021I20.4	NA	NA	VCAP|RP5-1021I20.4--RNF111	unique	VCAP	RP5-1021I20.4--RNF111	5	3	arriba
NA	NA	NA	NA	K562|FAM155A--GPC6	NA	NA	K562|GPC6--FAM155A	unique	K562	FAM155A--GPC6	5	1	arriba
NA	NA	NA	NA	SKBR3|CEP112--KLHDC2	NA	NA	SKBR3|KLHDC2--CEP112	unique	SKBR3	KLHDC2--CEP112	4	4	arriba
NA	NA	NA	NA	VCAP|CDKAL1--LINC01505	NA	NA	VCAP|CDKAL1--LINC01505	unique	VCAP	CDKAL1--LINC01505	4	3	arriba
NA	NA	NA	NA	HCC1187|GCNT2--OFCC1	NA	NA	HCC1187|GCNT2--OFCC1	shared	HCC1187	GCNT2--OFCC1	4	2	arriba
NA	NA	NA	NA	HCC1395|FNDC3A--POM121C	NA	NA	HCC1395|FNDC3A--POM121C	shared	HCC1395	POM121C--FNDC3A	3	11	arriba
NA	NA	NA	NA	SKBR3|LINC00536--PVT1	NA	NA	SKBR3|PVT1--LINC00536	shared	SKBR3	PVT1--LINC00536	3	4	arriba
NA	NA	NA	NA	HCC1187|APOD--RP11-447L10.1	NA	NA	HCC1187|APOD--RP11-447L10.1	unique	HCC1187	RP11-447L10.1--APOD	3	1	arriba
NA	NA	NA	NA	RT112|KLHL18--RP11-314M24.1	NA	NA	RT112|KLHL18--RP11-314M24.1	shared	RT112	KLHL18--RP11-314M24.1	3	0	arriba
NA	NA	NA	NA	HCC1395|MALT1--PRTG	NA	NA	HCC1395|PRTG--MALT1	shared	HCC1395	MALT1--PRTG	2	19	arriba
NA	NA	NA	NA	SKBR3|LINC00824--SLC45A4	NA	NA	SKBR3|SLC45A4--LINC00824	shared	SKBR3	SLC45A4--LINC00824	2	2	arriba
NA	NA	NA	NA	RT112|EPB41L4B--TRAF2	NA	NA	RT112|TRAF2--EPB41L4B	shared	RT112	TRAF2--EPB41L4B	2	2	arriba
NA	NA	NA	NA	VCAP|CTC-340A15.2--PPIP5K2	NA	NA	VCAP|PPIP5K2--CTC-340A15.2	shared	VCAP	PPIP5K2--CTC-340A15.2	2	1	arriba
NA	NA	NA	NA	SKBR3|MTSS1--RP11-941H19.3	NA	NA	SKBR3|MTSS1--RP11-941H19.3	shared	SKBR3	MTSS1--RP11-941H19.3	2	0	arriba
NA	NA	NA	NA	HCC1395|GRIN2A--PGF	NA	NA	HCC1395|PGF--GRIN2A	shared	HCC1395	GRIN2A--PGF	1	3	arriba
NA	NA	NA	NA	DMS53|AGAP1--IQCA1	NA	NA	DMS53|AGAP1--IQCA1	unique	DMS53	AGAP1--IQCA1	1	3	arriba
NA	NA	NA	NA	HCC1395|ASTN1--BRINP2	NA	NA	HCC1395|ASTN1--BRINP2	unique	HCC1395	BRINP2--ASTN1	1	2	arriba
NA	NA	NA	NA	KIJK|FBXW4--SLIT1	NA	NA	KIJK|SLIT1--FBXW4	unique	KIJK	FBXW4--SLIT1	1	1	arriba
