sample	FusionName.starF	est_J	est_S	FFPM	SpliceType	lex_ordered_fusion_name	has_long_read_support	num_LR_progs	LR_progs	FusionName.arriba	sum_split_reads	discordant_mates	progs	primary_fusion_name
MCF7	BCAS3--ATXN7	9	0	0.1861	ONLY_REF_SPLICE	MCF7|ATXN7--BCAS3	TRUE	1	fusionseeker	BCAS3--ATXN7	9	0	starF,arriba	BCAS3--ATXN7
MCF7	RAD51C--ATXN7	8	4	0.2509	ONLY_REF_SPLICE	MCF7|ATXN7--RAD51C	TRUE	2	ctat-LR-fusion,fusionseeker	RAD51C--ATXN7	7	4	starF,arriba	RAD51C--ATXN7
MCF7	AL121578.2--SYTL5	8	1.45	0.1954	ONLY_REF_SPLICE	MCF7|AL121578.2--SYTL5	FALSE	NA	NA	NA	NA	NA	starF	AL121578.2--SYTL5
MCF7	RP11-680G10.1--GSE1	8	1	0.1882	ONLY_REF_SPLICE	MCF7|GSE1--RP11-680G10.1	TRUE	1	ctat-LR-fusion	NA	NA	NA	starF	RP11-680G10.1--GSE1
MCF7	THSD4--LRRC49	8	0	0.1673	ONLY_REF_SPLICE	MCF7|LRRC49--THSD4	FALSE	NA	NA	THSD4--LRRC49	8	0	starF,arriba	THSD4--LRRC49
MCF7	RP11-123O10.4--GRIP1	8	0	0.1673	ONLY_REF_SPLICE	MCF7|GRIP1--RP11-123O10.4	FALSE	NA	NA	NA	NA	NA	starF	RP11-123O10.4--GRIP1
MCF7	PDE8A--SCAND2P	8	0	0.1673	ONLY_REF_SPLICE	MCF7|PDE8A--SCAND2P	TRUE	2	ctat-LR-fusion,fusionseeker	PDE8A--SCAND2P	8	0	starF,arriba	PDE8A--SCAND2P
MCF7	LINC00674--BPTF	8	0	0.1673	ONLY_REF_SPLICE	MCF7|BPTF--LINC00674	FALSE	NA	NA	LINC00674--BPTF	7	0	starF,arriba	LINC00674--BPTF
MCF7	TAF4--BRIP1	8	0	0.1654	ONLY_REF_SPLICE	MCF7|BRIP1--TAF4	TRUE	4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker	NA	NA	NA	starF	TAF4--BRIP1
MCF7	PCDHGB1--PCDHGA10	8	0	0.1654	INCL_NON_REF_SPLICE	MCF7|PCDHGA10--PCDHGB1	FALSE	NA	NA	NA	NA	NA	starF	PCDHGB1--PCDHGA10
MCF7	RP11-14D22.2--PRICKLE2	7	0	0.1464	INCL_NON_REF_SPLICE	MCF7|PRICKLE2--RP11-14D22.2	TRUE	1	ctat-LR-fusion	NA	NA	NA	starF	RP11-14D22.2--PRICKLE2
MCF7	BOLA2B--SMG1P5	7	0	0.1464	INCL_NON_REF_SPLICE	MCF7|BOLA2B--SMG1P5	FALSE	NA	NA	NA	NA	NA	starF	BOLA2B--SMG1P5
MCF7	AC005037.3--NIF3L1	7	0	0.1464	ONLY_REF_SPLICE	MCF7|AC005037.3--NIF3L1	FALSE	NA	NA	AC005037.3--NIF3L1	6	0	starF,arriba	AC005037.3--NIF3L1
MCF7	RP11-15E18.1--LPPR5	7	0	0.1448	INCL_NON_REF_SPLICE	MCF7|LPPR5--RP11-15E18.1	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	NA	NA	NA	starF	RP11-15E18.1--LPPR5
MCF7	MTAP--CDKN2B-AS1	6	1	0.1464	ONLY_REF_SPLICE	MCF7|CDKN2B-AS1--MTAP	FALSE	NA	NA	NA	NA	NA	starF	MTAP--CDKN2B-AS1
MCF7	TBL1XR1--RGS17	6	1	0.1448	ONLY_REF_SPLICE	MCF7|RGS17--TBL1XR1	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	TBL1XR1--RGS17	5	1	starF,arriba	TBL1XR1--RGS17
MCF7	SMG6--RTN4RL1	6	0	0.1241	ONLY_REF_SPLICE	MCF7|RTN4RL1--SMG6	FALSE	NA	NA	NA	NA	NA	starF	SMG6--RTN4RL1
MCF7	PNPLA7--DPH7	6	0	0.1241	ONLY_REF_SPLICE	MCF7|DPH7--PNPLA7	FALSE	NA	NA	PNPLA7--DPH7	7	0	starF,arriba	PNPLA7--DPH7
MCF7	PARD6B--BCAS3	6	0	0.1241	ONLY_REF_SPLICE	MCF7|BCAS3--PARD6B	TRUE	3	JAFFAL,LongGF,fusionseeker	NA	NA	NA	starF	PARD6B--BCAS3
MCF7	GIGYF2--EFHD1	6	0	0.1241	ONLY_REF_SPLICE	MCF7|EFHD1--GIGYF2	FALSE	NA	NA	GIGYF2--EFHD1	6	0	starF,arriba	GIGYF2--EFHD1
MCF7	EIF3H--RAD21	6	0	0.1241	ONLY_REF_SPLICE	MCF7|EIF3H--RAD21	FALSE	NA	NA	NA	NA	NA	starF	EIF3H--RAD21
MCF7	LEMD3--RP1-74B13.2	5	1	0.1255	ONLY_REF_SPLICE	MCF7|LEMD3--RP1-74B13.2	FALSE	NA	NA	LEMD3--RP1-74B13.2	5	1	starF,arriba	LEMD3--RP1-74B13.2
MCF7	SMG1P3--CTB-31N19.5	5	0	0.1046	ONLY_REF_SPLICE	MCF7|CTB-31N19.5--SMG1P3	FALSE	NA	NA	NA	NA	NA	starF	SMG1P3--CTB-31N19.5
MCF7	HADHB--RAB10	5	0	0.1046	ONLY_REF_SPLICE	MCF7|HADHB--RAB10	FALSE	NA	NA	NA	NA	NA	starF	HADHB--RAB10
MCF7	ANKHD1--CYSTM1	5	0	0.1046	ONLY_REF_SPLICE	MCF7|ANKHD1--CYSTM1	TRUE	1	ctat-LR-fusion	ANKHD1--CYSTM1	6	0	starF,arriba	ANKHD1--CYSTM1
MCF7	HIST2H2BC--SV2A	5	0	0.1034	INCL_NON_REF_SPLICE	MCF7|HIST2H2BC--SV2A	FALSE	NA	NA	NA	NA	NA	starF	HIST2H2BC--SV2A
MCF7	SHISA9--U91319.1	5	0	0.1034	ONLY_REF_SPLICE	MCF7|SHISA9--U91319.1	FALSE	NA	NA	NA	NA	NA	starF	SHISA9--U91319.1
MCF7	ROCK2--ALMS1	5	0	0.1034	ONLY_REF_SPLICE	MCF7|ALMS1--ROCK2	FALSE	NA	NA	ROCK2--ALMS1	5	0	starF,arriba	ROCK2--ALMS1
MCF7	OR51S1--TP53I11	5	0	0.1034	INCL_NON_REF_SPLICE	MCF7|OR51S1--TP53I11	FALSE	NA	NA	NA	NA	NA	starF	OR51S1--TP53I11
MCF7	KBTBD2--RP11-89N17.4	5	0	0.1034	ONLY_REF_SPLICE	MCF7|KBTBD2--RP11-89N17.4	FALSE	NA	NA	KBTBD2--RP11-89N17.4	5	0	starF,arriba	KBTBD2--RP11-89N17.4
MCF7	PSMC2--EIF2B3	4	1	0.1236	ONLY_REF_SPLICE	MCF7|EIF2B3--PSMC2	TRUE	3	LongGF,ctat-LR-fusion,fusionseeker	NA	NA	NA	starF	PSMC2--EIF2B3
MCF7	KDM2A--C11orf86	4	1	0.1034	INCL_NON_REF_SPLICE	MCF7|C11orf86--KDM2A	TRUE	2	ctat-LR-fusion,fusionseeker	KDM2A--C11orf86	5	1	starF,arriba	KDM2A--C11orf86
A549	NA	NA	NA	NA	NA	A549|MTAP--RP11-408N14.1	TRUE	1	fusionseeker	MTAP--RP11-408N14.1	81	4	arriba	MTAP--RP11-408N14.1
A549	NA	NA	NA	NA	NA	A549|FYB1--RICTOR	FALSE	NA	NA	RICTOR--FYB1	50	0	arriba	RICTOR--FYB1
A549	NA	NA	NA	NA	NA	A549|CDKN2B-AS1--MTAP	FALSE	NA	NA	MTAP--CDKN2B-AS1	18	0	arriba	MTAP--CDKN2B-AS1
A549	NA	NA	NA	NA	NA	A549|ANAPC1--MIR4435-2HG	FALSE	NA	NA	MIR4435-2HG--ANAPC1	11	0	arriba	MIR4435-2HG--ANAPC1
A549	NA	NA	NA	NA	NA	A549|ZNF43--ZNF43	FALSE	NA	NA	ZNF43--ZNF43	11	0	arriba	ZNF43--ZNF43
A549	NA	NA	NA	NA	NA	A549|LINC02203--ZNF43	FALSE	NA	NA	ZNF43--LINC02203	7	0	arriba	ZNF43--LINC02203
A549	NA	NA	NA	NA	NA	A549|RP11-69H14.6--ZNF43	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	ZNF43--RP11-69H14.6	6	2	arriba	ZNF43--RP11-69H14.6
A549	NA	NA	NA	NA	NA	A549|RP11-69H14.10--ZNF43	FALSE	NA	NA	ZNF43--RP11-69H14.10	6	2	arriba	ZNF43--RP11-69H14.10
A549	NA	NA	NA	NA	NA	A549|LRRN2--PLEKHA6	TRUE	1	fusionseeker	PLEKHA6--LRRN2	4	0	arriba	PLEKHA6--LRRN2
K562	NA	NA	NA	NA	NA	K562|ESRRB--RP11-361H10.3	FALSE	NA	NA	RP11-361H10.3--ESRRB	99	2	arriba	RP11-361H10.3--ESRRB
K562	NA	NA	NA	NA	NA	K562|ALDOC--PHF12	TRUE	2	LongGF,fusionseeker	ALDOC--PHF12	90	6	arriba	ALDOC--PHF12
K562	NA	NA	NA	NA	NA	K562|PHF12--RP11-192H23.5	FALSE	NA	NA	RP11-192H23.5--PHF12	85	4	arriba	RP11-192H23.5--PHF12
K562	NA	NA	NA	NA	NA	K562|PIK3C3--PIK3C3	FALSE	NA	NA	PIK3C3--PIK3C3	23	0	arriba	PIK3C3--PIK3C3
K562	NA	NA	NA	NA	NA	K562|ARMH3--KCNIP2	FALSE	NA	NA	ARMH3--KCNIP2	20	0	arriba	ARMH3--KCNIP2
K562	NA	NA	NA	NA	NA	K562|ATXN1-AS1--GSE1	FALSE	NA	NA	GSE1--ATXN1-AS1	19	0	arriba	GSE1--ATXN1-AS1
K562	NA	NA	NA	NA	NA	K562|PHF19--PSMD5	FALSE	NA	NA	PHF19--PSMD5	18	2	arriba	PHF19--PSMD5
K562	NA	NA	NA	NA	NA	K562|AHI1--AHI1	FALSE	NA	NA	AHI1--AHI1	16	1	arriba	AHI1--AHI1
K562	NA	NA	NA	NA	NA	K562|PLA2G4A(49300),LINC01036(32419)--TPR	FALSE	NA	NA	TPR--PLA2G4A(49300),LINC01036(32419)	10	1	arriba	TPR--PLA2G4A(49300),LINC01036(32419)
K562	NA	NA	NA	NA	NA	K562|LRCH2--XACT	FALSE	NA	NA	XACT--LRCH2	9	2	arriba	XACT--LRCH2
K562	NA	NA	NA	NA	NA	K562|CTD-2089N3.3(45375),RNU6-480P(39791)--ZFAND3	FALSE	NA	NA	ZFAND3--CTD-2089N3.3(45375),RNU6-480P(39791)	8	2	arriba	ZFAND3--CTD-2089N3.3(45375),RNU6-480P(39791)
K562	NA	NA	NA	NA	NA	K562|FAM155A--GPC6	TRUE	1	fusionseeker	FAM155A--GPC6	7	1	arriba	FAM155A--GPC6
K562	NA	NA	NA	NA	NA	K562|AUH--FRG1HP	FALSE	NA	NA	AUH--FRG1HP	3	0	arriba	AUH--FRG1HP
K562	NA	NA	NA	NA	NA	K562|ATXN1--GSE1	FALSE	NA	NA	ATXN1--GSE1	3	0	arriba	ATXN1--GSE1
MCF7	NA	NA	NA	NA	NA	MCF7|ATXN7--RP5-947P14.1(91741),RP11-478L17.1(328037)	FALSE	NA	NA	ATXN7--RP5-947P14.1(91741),RP11-478L17.1(328037)	273	13	arriba	ATXN7--RP5-947P14.1(91741),RP11-478L17.1(328037)
MCF7	NA	NA	NA	NA	NA	MCF7|SULF2--ZNF217	TRUE	1	fusionseeker	ZNF217--SULF2	255	0	arriba	ZNF217--SULF2
MCF7	NA	NA	NA	NA	NA	MCF7|FOXA1--TTC6	FALSE	NA	NA	FOXA1--TTC6	200	17	arriba	FOXA1--TTC6
