sample	FusionName.starF	est_J	est_S	FFPM	SpliceType	lex_ordered_fusion_name	has_long_read_support	num_LR_progs	LR_progs	FusionName.arriba	sum_split_reads	discordant_mates	progs	primary_fusion_name
A549	RICTOR--FYB	77	0	1.4778	ONLY_REF_SPLICE	A549|FYB--RICTOR	FALSE	NA	NA	NA	NA	NA	starF	RICTOR--FYB
A549	SCAMP2--WDR72	39	3	0.9447	ONLY_REF_SPLICE	A549|SCAMP2--WDR72	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	SCAMP2--WDR72	35	2	starF,arriba	SCAMP2--WDR72
A549	ACACA--PLXDC1	29	0.78	0.6158	ONLY_REF_SPLICE	A549|ACACA--PLXDC1	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	ACACA--PLXDC1	29	0	starF,arriba	ACACA--PLXDC1
A549	KANSL1--ARL17A	13	1	0.2895	ONLY_REF_SPLICE	A549|ARL17A--KANSL1	FALSE	NA	NA	NA	NA	NA	starF	KANSL1--ARL17A
A549	LEPROT--LEPR	10	0	0.2249	ONLY_REF_SPLICE	A549|LEPR--LEPROT	FALSE	NA	NA	NA	NA	NA	starF	LEPROT--LEPR
A549	RP11-603B24.1--HERC2P3	8	0	0.1535	INCL_NON_REF_SPLICE	A549|HERC2P3--RP11-603B24.1	TRUE	1	fusionseeker	NA	NA	NA	starF	RP11-603B24.1--HERC2P3
A549	LINC00152--AC083899.3	8	0	0.1535	ONLY_REF_SPLICE	A549|AC083899.3--LINC00152	FALSE	NA	NA	NA	NA	NA	starF	LINC00152--AC083899.3
A549	TVP23C--CDRT4	8	0	0.1654	ONLY_REF_SPLICE	A549|CDRT4--TVP23C	FALSE	NA	NA	NA	NA	NA	starF	TVP23C--CDRT4
A549	PARG--BMS1	8	0	0.1654	ONLY_REF_SPLICE	A549|BMS1--PARG	FALSE	NA	NA	PARG--BMS1	8	0	starF,arriba	PARG--BMS1
A549	RP11-123O10.4--GRIP1	7	1	0.1535	ONLY_REF_SPLICE	A549|GRIP1--RP11-123O10.4	FALSE	NA	NA	NA	NA	NA	starF	RP11-123O10.4--GRIP1
A549	ZGPAT--LIME1	5	0	0.1034	INCL_NON_REF_SPLICE	A549|LIME1--ZGPAT	FALSE	NA	NA	NA	NA	NA	starF	ZGPAT--LIME1
K562	BCR--ABL1	183	6	3.9012	ONLY_REF_SPLICE	K562|ABL1--BCR	TRUE	4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker	BCR--ABL1	159	8	starF,arriba	BCR--ABL1
K562	BAG6--SLC44A4	104	4	2.2293	ONLY_REF_SPLICE	K562|BAG6--SLC44A4	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	BAG6--SLC44A4	98	2	starF,arriba	BAG6--SLC44A4
K562	NUP214--XKR3	99	3	1.8614	ONLY_REF_SPLICE	K562|NUP214--XKR3	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	NUP214--XKR3	91	3	starF,arriba	NUP214--XKR3
K562	KANSL1--ARL17B	56.92	2	1.0647	ONLY_REF_SPLICE	K562|ARL17B--KANSL1	FALSE	NA	NA	NA	NA	NA	starF	KANSL1--ARL17B
K562	KANSL1--ARL17A	49.75	1.99	1.068	ONLY_REF_SPLICE	K562|ARL17A--KANSL1	FALSE	NA	NA	NA	NA	NA	starF	KANSL1--ARL17A
K562	LINC01169--SMAD6	25	0	0.516	ONLY_REF_SPLICE	K562|LINC01169--SMAD6	FALSE	NA	NA	NA	NA	NA	starF	LINC01169--SMAD6
K562	UPF3AP1--CDC16	23	0.82	0.4305	INCL_NON_REF_SPLICE	K562|CDC16--UPF3AP1	FALSE	NA	NA	NA	NA	NA	starF	UPF3AP1--CDC16
K562	CTC-786C10.1--RP11-680G10.1	17	0	0.3102	ONLY_REF_SPLICE	K562|CTC-786C10.1--RP11-680G10.1	TRUE	1	pbfusion	NA	NA	NA	starF	CTC-786C10.1--RP11-680G10.1
K562	C10orf76--KCNIP2	17	0	0.3072	ONLY_REF_SPLICE	K562|C10orf76--KCNIP2	FALSE	NA	NA	NA	NA	NA	starF	C10orf76--KCNIP2
K562	RP5-906C1.1--PREX1	14	0	0.2555	ONLY_REF_SPLICE	K562|PREX1--RP5-906C1.1	FALSE	NA	NA	NA	NA	NA	starF	RP5-906C1.1--PREX1
K562	RP11-680G10.1--GSE1	13	0	0.2372	ONLY_REF_SPLICE	K562|GSE1--RP11-680G10.1	TRUE	2	ctat-LR-fusion,fusionseeker	NA	NA	NA	starF	RP11-680G10.1--GSE1
K562	IMMP2L--DOCK4	12	1	0.2372	ONLY_REF_SPLICE	K562|DOCK4--IMMP2L	FALSE	NA	NA	IMMP2L--DOCK4	12	1	starF,arriba	IMMP2L--DOCK4
K562	RP11-307P5.1--SASH1	12	0	0.219	ONLY_REF_SPLICE	K562|RP11-307P5.1--SASH1	FALSE	NA	NA	RP11-307P5.1--SASH1	14	0	starF,arriba	RP11-307P5.1--SASH1
K562	UPF3A--CDC16	11	1.69	0.2315	INCL_NON_REF_SPLICE	K562|CDC16--UPF3A	FALSE	NA	NA	UPF3A--CDC16	19	4	starF,arriba	UPF3A--CDC16
K562	GLG1--CLEC18B	10	0	0.2064	INCL_NON_REF_SPLICE	K562|CLEC18B--GLG1	FALSE	NA	NA	NA	NA	NA	starF	GLG1--CLEC18B
K562	LEPROT--LEPR	8	2	0.1807	ONLY_REF_SPLICE	K562|LEPR--LEPROT	FALSE	NA	NA	NA	NA	NA	starF	LEPROT--LEPR
K562	C16orf87--ORC6	7	1	0.1446	ONLY_REF_SPLICE	K562|C16orf87--ORC6	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	C16orf87--ORC6	6	1	starF,arriba	C16orf87--ORC6
K562	LINC00639--AC104389.28	7	0	0.1277	ONLY_REF_SPLICE	K562|AC104389.28--LINC00639	FALSE	NA	NA	NA	NA	NA	starF	LINC00639--AC104389.28
K562	COMMD10--AP3S1	7	0	0.1265	ONLY_REF_SPLICE	K562|AP3S1--COMMD10	FALSE	NA	NA	COMMD10--AP3S1	6	0	starF,arriba	COMMD10--AP3S1
K562	RP5-964N17.1--LRCH2	5	1	0.1094	ONLY_REF_SPLICE	K562|LRCH2--RP5-964N17.1	TRUE	1	ctat-LR-fusion	NA	NA	NA	starF	RP5-964N17.1--LRCH2
MCF7	BCAS4--BCAS3	1727	38	36.9079	ONLY_REF_SPLICE	MCF7|BCAS3--BCAS4	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	BCAS4--BCAS3	599	8	starF,arriba	BCAS4--BCAS3
MCF7	RPS6KB1--VMP1	758	92	17.5784	ONLY_REF_SPLICE	MCF7|RPS6KB1--VMP1	FALSE	NA	NA	RPS6KB1--VMP1	600	84	starF,arriba	RPS6KB1--VMP1
MCF7	AC099850.1--VMP1	503	69.58	11.9732	ONLY_REF_SPLICE	MCF7|AC099850.1--VMP1	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	AC099850.1--VMP1	435	67	starF,arriba	AC099850.1--VMP1
MCF7	ARFGEF2--SULF2	268	14	5.8969	ONLY_REF_SPLICE	MCF7|ARFGEF2--SULF2	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	ARFGEF2--SULF2	256	14	starF,arriba	ARFGEF2--SULF2
MCF7	SLC25A24--NBPF6	214.98	21.93	4.8994	ONLY_REF_SPLICE	MCF7|NBPF6--SLC25A24	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	SLC25A24--NBPF6	197	15	starF,arriba	SLC25A24--NBPF6
MCF7	SYTL2--PICALM	113	4	2.4196	ONLY_REF_SPLICE	MCF7|PICALM--SYTL2	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	SYTL2--PICALM	110	4	starF,arriba	SYTL2--PICALM
MCF7	DEPDC1B--ELOVL7	58	7	1.3592	ONLY_REF_SPLICE	MCF7|DEPDC1B--ELOVL7	FALSE	NA	NA	DEPDC1B--ELOVL7	55	7	starF,arriba	DEPDC1B--ELOVL7
MCF7	SMARCA4--CARM1	43	5	1.0038	ONLY_REF_SPLICE	MCF7|CARM1--SMARCA4	FALSE	NA	NA	SMARCA4--CARM1	39	3	starF,arriba	SMARCA4--CARM1
MCF7	TTC6--RP11-356O9.1	42	3	0.941	INCL_NON_REF_SPLICE	MCF7|RP11-356O9.1--TTC6	FALSE	NA	NA	TTC6--RP11-356O9.1	39	3	starF,arriba	TTC6--RP11-356O9.1
MCF7	TANC2--CA4	37	2	0.8066	ONLY_REF_SPLICE	MCF7|CA4--TANC2	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	TANC2--CA4	39	4	starF,arriba	TANC2--CA4
MCF7	RSBN1--AP4B1-AS1	37	1.35	0.7931	ONLY_REF_SPLICE	MCF7|AP4B1-AS1--RSBN1	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	RSBN1--AP4B1-AS1	34	3	starF,arriba	RSBN1--AP4B1-AS1
MCF7	TXLNG--SYAP1	37	0	0.7737	ONLY_REF_SPLICE	MCF7|SYAP1--TXLNG	FALSE	NA	NA	TXLNG--SYAP1	31	0	starF,arriba	TXLNG--SYAP1
MCF7	RP11-662G23.1--C8orf88	33	1.61	0.7238	ONLY_REF_SPLICE	MCF7|C8orf88--RP11-662G23.1	FALSE	NA	NA	RP11-662G23.1--C8orf88	34	5	starF,arriba	RP11-662G23.1--C8orf88
MCF7	MYO9B--FCHO1	32	4	0.7528	ONLY_REF_SPLICE	MCF7|FCHO1--MYO9B	TRUE	4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker	MYO9B--FCHO1	35	3	starF,arriba	MYO9B--FCHO1
MCF7	GIGYF2--EIF4E2	29	0	0.5997	ONLY_REF_SPLICE	MCF7|EIF4E2--GIGYF2	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	GIGYF2--EIF4E2	22	0	starF,arriba	GIGYF2--EIF4E2
MCF7	ATXN7L3--FAM171A2	28	0	0.5855	ONLY_REF_SPLICE	MCF7|ATXN7L3--FAM171A2	TRUE	4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker	ATXN7L3--FAM171A2	28	0	starF,arriba	ATXN7L3--FAM171A2
MCF7	GCN1L1--MSI1	27	0	0.5646	ONLY_REF_SPLICE	MCF7|GCN1L1--MSI1	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	NA	NA	NA	starF	GCN1L1--MSI1
MCF7	ESR1--CCDC170	26	2	0.5791	ONLY_REF_SPLICE	MCF7|CCDC170--ESR1	FALSE	NA	NA	ESR1--CCDC170	23	2	starF,arriba	ESR1--CCDC170
MCF7	MYO6--SENP6	23	3	0.5377	ONLY_REF_SPLICE	MCF7|MYO6--SENP6	FALSE	NA	NA	MYO6--SENP6	21	0	starF,arriba	MYO6--SENP6
MCF7	GATAD2B--NUP210L	21	0	0.4391	ONLY_REF_SPLICE	MCF7|GATAD2B--NUP210L	FALSE	NA	NA	GATAD2B--NUP210L	18	0	starF,arriba	GATAD2B--NUP210L
MCF7	SMARCC1--EMCN	20	1	0.4343	ONLY_REF_SPLICE	MCF7|EMCN--SMARCC1	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	SMARCC1--EMCN	14	1	starF,arriba	SMARCC1--EMCN
MCF7	NAV1--GPR37L1	17	3.69	0.4279	INCL_NON_REF_SPLICE	MCF7|GPR37L1--NAV1	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	NAV1--GPR37L1	17	1	starF,arriba	NAV1--GPR37L1
MCF7	ATP1A1--ZFP64	17	1	0.3764	ONLY_REF_SPLICE	MCF7|ATP1A1--ZFP64	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	NA	NA	NA	starF	ATP1A1--ZFP64
MCF7	SEZ6L2--GPM6A	17	0	0.3516	ONLY_REF_SPLICE	MCF7|GPM6A--SEZ6L2	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	SEZ6L2--GPM6A	15	0	starF,arriba	SEZ6L2--GPM6A
MCF7	PAPOLA--AK7	16	1	0.3516	ONLY_REF_SPLICE	MCF7|AK7--PAPOLA	FALSE	NA	NA	PAPOLA--AK7	15	1	starF,arriba	PAPOLA--AK7
MCF7	POP1--MATN2	16	0	0.3309	ONLY_REF_SPLICE	MCF7|MATN2--POP1	FALSE	NA	NA	POP1--MATN2	13	0	starF,arriba	POP1--MATN2
MCF7	BCAS4--ZMYND8	15	0	0.3137	ONLY_REF_SPLICE	MCF7|BCAS4--ZMYND8	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	NA	NA	NA	starF	BCAS4--ZMYND8
MCF7	TANC2--TLK2	14	1	0.3137	INCL_NON_REF_SPLICE	MCF7|TANC2--TLK2	TRUE	3	JAFFAL,LongGF,fusionseeker	TANC2--TLK2	13	1	starF,arriba	TANC2--TLK2
MCF7	HIPK1--DENND2C	14	0	0.2928	ONLY_REF_SPLICE	MCF7|DENND2C--HIPK1	TRUE	2	JAFFAL,ctat-LR-fusion	HIPK1--DENND2C	10	0	starF,arriba	HIPK1--DENND2C
MCF7	AHCYL1--RAD51C	14	0	0.2928	ONLY_REF_SPLICE	MCF7|AHCYL1--RAD51C	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	AHCYL1--RAD51C	13	0	starF,arriba	AHCYL1--RAD51C
MCF7	NEMF--LINC01588	12	2	0.2896	ONLY_REF_SPLICE	MCF7|LINC01588--NEMF	TRUE	4	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	NEMF--LINC01588	11	2	starF,arriba	NEMF--LINC01588
MCF7	RP4-769N13.6--GPRASP2	12	1	0.2689	ONLY_REF_SPLICE	MCF7|GPRASP2--RP4-769N13.6	FALSE	NA	NA	NA	NA	NA	starF	RP4-769N13.6--GPRASP2
MCF7	GBF1--MACROD2	12	0	0.2509	ONLY_REF_SPLICE	MCF7|GBF1--MACROD2	TRUE	5	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	GBF1--MACROD2	8	1	starF,arriba	GBF1--MACROD2
MCF7	GTF2I--GTF2IRD1	11	1	0.2509	ONLY_REF_SPLICE	MCF7|GTF2I--GTF2IRD1	FALSE	NA	NA	GTF2I--GTF2IRD1	9	1	starF,arriba	GTF2I--GTF2IRD1
MCF7	GNAQ--GNA14	10	1.67	0.2413	ONLY_REF_SPLICE	MCF7|GNA14--GNAQ	FALSE	NA	NA	GNAQ--GNA14	11	3	starF,arriba	GNAQ--GNA14
MCF7	MSL2--STAG1	9	1	0.2068	ONLY_REF_SPLICE	MCF7|MSL2--STAG1	TRUE	1	ctat-LR-fusion	MSL2--STAG1	9	1	starF,arriba	MSL2--STAG1
MCF7	SULF2--PRICKLE2	9	0	0.1882	ONLY_REF_SPLICE	MCF7|PRICKLE2--SULF2	TRUE	3	JAFFAL,ctat-LR-fusion,fusionseeker	SULF2--PRICKLE2	9	0	starF,arriba	SULF2--PRICKLE2
MCF7	MACROD2--C14orf132	9	0	0.1882	ONLY_REF_SPLICE	MCF7|C14orf132--MACROD2	FALSE	NA	NA	MACROD2--C14orf132	12	2	starF,arriba	MACROD2--C14orf132
MCF7	ABCA5--PPP4R1L	9	0	0.2224	ONLY_REF_SPLICE	MCF7|ABCA5--PPP4R1L	TRUE	2	ctat-LR-fusion,fusionseeker	ABCA5--PPP4R1L	9	0	starF,arriba	ABCA5--PPP4R1L
MCF7	TANC2--MRC2	9	0	0.1861	ONLY_REF_SPLICE	MCF7|MRC2--TANC2	TRUE	1	fusionseeker	TANC2--MRC2	12	0	starF,arriba	TANC2--MRC2
