lex_sorted_fusion_name	validated_fusion	matched_illumina	other_illumina
A549|ACACA--PLXDC1	FALSE	starF,arriba	NA
A549|HERC2P3--RP11-603B24.1	FALSE	starF	NA
A549|LRRN2--PLEKHA6	FALSE	arriba	NA
A549|MTAP--RP11-408N14.1	FALSE	arriba	NA
A549|RP11-69H14.6--ZNF43	FALSE	arriba	NA
A549|SCAMP2--WDR72	TRUE	starF,arriba	NA
K562|ABL1--BCR	TRUE	starF,arriba	starF,arriba
K562|ALDOC--PHF12	FALSE	arriba	NA
K562|BAG6--SLC44A4	FALSE	starF,arriba	starF,arriba
K562|C16orf87--ORC6	FALSE	starF,arriba	starF,arriba
K562|CCDC26--LINC00977	FALSE	NA	starF
K562|CEP70--FAIM	FALSE	NA	starF,arriba
K562|CTC-786C10.1--RP11-680G10.1	FALSE	starF	starF
K562|FAM155A--GPC6	FALSE	arriba	arriba
K562|GSE1--RP11-680G10.1	FALSE	starF	NA
K562|LRCH2--RP5-964N17.1	FALSE	starF	starF
K562|NFIB--RP11-408A13.2	FALSE	NA	starF
K562|NUP214--XKR3	TRUE	starF,arriba	starF,arriba
MCF7|ABCA5--PPP4R1L	TRUE	starF,arriba	NA
MCF7|ABCC1--C16orf45	TRUE	NA	NA
MCF7|AC099850.1--VMP1	TRUE	starF,arriba	NA
MCF7|ADAMTS19--SLC27A6	TRUE	NA	NA
MCF7|ADAT1--TERF2IP	FALSE	arriba	NA
MCF7|AFF4--HSPA4	FALSE	arriba	NA
MCF7|AHCYL1--RAD51C	TRUE	starF,arriba	NA
MCF7|AL163953.3--DDHD1	FALSE	arriba	NA
MCF7|ANKHD1--CYSTM1	FALSE	starF,arriba	NA
MCF7|AP4B1-AS1--RSBN1	TRUE	starF,arriba	NA
MCF7|ARFGEF2--SULF2	TRUE	starF,arriba	NA
MCF7|ATP1A1--ZFP64	TRUE	starF	NA
MCF7|ATXN7--BCAS3	TRUE	starF,arriba	NA
MCF7|ATXN7--RAD51C	TRUE	starF,arriba	NA
MCF7|ATXN7L3--FAM171A2	TRUE	starF,arriba	NA
MCF7|B3GNTL1--SLC9A8	TRUE	NA	NA
MCF7|BCAS3--BCAS4	TRUE	starF,arriba	NA
MCF7|BCAS3--PARD6B	FALSE	starF	NA
MCF7|BCAS4--ZMYND8	TRUE	starF	NA
MCF7|BEND7--PRPF18	FALSE	arriba	NA
MCF7|BMP7--SULF2	FALSE	arriba	NA
MCF7|BRIP1--TAF4	TRUE	starF	NA
MCF7|C11orf86--KDM2A	FALSE	starF,arriba	NA
MCF7|C3orf35--LRRFIP2	FALSE	arriba	NA
MCF7|CA4--TANC2	FALSE	starF,arriba	NA
MCF7|CDKN2B-AS1--RP11-145E5.5	TRUE	NA	NA
MCF7|CHEK2--CTA-292E10.6	FALSE	arriba	NA
MCF7|DENND2C--HIPK1	FALSE	starF,arriba	NA
MCF7|DHX30--EMCN	FALSE	arriba	NA
MCF7|DIAPH3--RPS6KB1	TRUE	NA	NA
MCF7|DSCAML1--TRAPPC4	FALSE	arriba	NA
MCF7|EIF2B3--PSMC2	FALSE	starF	NA
MCF7|EIF4E2--GIGYF2	FALSE	starF,arriba	NA
MCF7|EMCN--SMARCC1	FALSE	starF,arriba	NA
MCF7|FCHO1--MYO9B	TRUE	starF,arriba	NA
MCF7|FNDC3B--PLOD2	FALSE	arriba	NA
MCF7|FNDC3B--RP11-274H2.2	FALSE	arriba	NA
MCF7|GABPB2--SETDB1	FALSE	arriba	NA
MCF7|GBF1--MACROD2	FALSE	starF,arriba	NA
MCF7|GCN1L1--MSI1	TRUE	starF	NA
MCF7|GPM6A--SEZ6L2	FALSE	starF,arriba	NA
MCF7|GPR37L1--NAV1	TRUE	starF,arriba	NA
MCF7|GSE1--RP11-680G10.1	FALSE	starF	NA
MCF7|LINC01588--NEMF	FALSE	starF,arriba	NA
MCF7|LPPR5--RP11-15E18.1	FALSE	starF	NA
MCF7|MRC2--TANC2	FALSE	starF,arriba	NA
MCF7|MSL2--STAG1	FALSE	starF,arriba	NA
MCF7|NBPF6--SLC25A24	TRUE	starF,arriba	NA
MCF7|NCOA3--ZNF217	FALSE	arriba	NA
MCF7|PDE8A--SCAND2P	FALSE	starF,arriba	NA
MCF7|PICALM--SYTL2	TRUE	starF,arriba	NA
MCF7|PPM1D--USP32	FALSE	arriba	NA
MCF7|PRICKLE2--RP11-14D22.2	FALSE	starF	NA
MCF7|PRICKLE2--SULF2	TRUE	starF,arriba	NA
MCF7|PTPRG--TEX14	TRUE	arriba	NA
MCF7|RGS17--TBL1XR1	TRUE	starF,arriba	NA
MCF7|RPS6KB1--TRIM37	FALSE	arriba	NA
MCF7|RSBN1--VAV3	FALSE	arriba	NA
MCF7|SGPP2--ULK4	TRUE	NA	NA
MCF7|SULF2--ZNF217	FALSE	arriba	NA
MCF7|TANC2--TLK2	FALSE	starF,arriba	NA
