proxy_fusion_name	sample	prog	num_reads	validated_fusion	matched_illumina	other_illumina
MCF7|BCAS3--BCAS4	MCF7	ctat-LR-fusion	3942	TRUE	starF,arriba	NA
MCF7|AC099850.1--VMP1	MCF7	ctat-LR-fusion	1106	TRUE	starF,arriba	NA
MCF7|ARFGEF2--SULF2	MCF7	ctat-LR-fusion	576	TRUE	starF,arriba	NA
MCF7|NBPF6--SLC25A24	MCF7	ctat-LR-fusion	252	TRUE	starF,arriba	NA
K562|BAG6--SLC44A4	K562	ctat-LR-fusion	176	FALSE	starF,arriba	starF,arriba
MCF7|PICALM--SYTL2	MCF7	ctat-LR-fusion	138	TRUE	starF,arriba	NA
MCF7|CA4--TANC2	MCF7	ctat-LR-fusion	66	FALSE	starF,arriba	NA
MCF7|ATP1A1--ZFP64	MCF7	ctat-LR-fusion	60	TRUE	starF	NA
MCF7|AHCYL1--RAD51C	MCF7	ctat-LR-fusion	58	TRUE	starF,arriba	NA
MCF7|AP4B1-AS1--RSBN1	MCF7	ctat-LR-fusion	54	TRUE	starF,arriba	NA
K562|NUP214--XKR3	K562	ctat-LR-fusion	50	TRUE	starF,arriba	starF,arriba
MCF7|ATXN7L3--FAM171A2	MCF7	ctat-LR-fusion	42	TRUE	starF,arriba	NA
MCF7|DIAPH3--RPS6KB1	MCF7	ctat-LR-fusion	42	TRUE	NA	NA
K562|ABL1--BCR	K562	ctat-LR-fusion	39	TRUE	starF,arriba	starF,arriba
MCF7|EMCN--SMARCC1	MCF7	ctat-LR-fusion	39	FALSE	starF,arriba	NA
K562|RP11-208G20.2--PSPHP1	K562	ctat-LR-fusion	36	FALSE	NA	NA
A549|SCAMP2--WDR72	A549	ctat-LR-fusion	35	TRUE	starF,arriba	NA
MCF7|FCHO1--MYO9B	MCF7	ctat-LR-fusion	33	TRUE	starF,arriba	NA
MCF7|GPM6A--SEZ6L2	MCF7	ctat-LR-fusion	31	FALSE	starF,arriba	NA
MCF7|BCAS4--ZMYND8	MCF7	ctat-LR-fusion	30	TRUE	starF	NA
A549|ACACA--PLXDC1	A549	ctat-LR-fusion	28	FALSE	starF,arriba	NA
K562|RPLP2--EFCAB3	K562	ctat-LR-fusion	27	FALSE	NA	NA
MCF7|RGS17--TBL1XR1	MCF7	ctat-LR-fusion	25	TRUE	starF,arriba	NA
MCF7|GBF1--MACROD2	MCF7	ctat-LR-fusion	22	FALSE	starF,arriba	NA
MCF7|EIF4E2--GIGYF2	MCF7	ctat-LR-fusion	18	FALSE	starF,arriba	NA
MCF7|LINC01588--NEMF	MCF7	ctat-LR-fusion	18	FALSE	starF,arriba	NA
MCF7|LPPR5--RP11-15E18.1	MCF7	ctat-LR-fusion	17	FALSE	starF	NA
MCF7|PDE8A--SCAND2P	MCF7	ctat-LR-fusion	16	FALSE	starF,arriba	NA
MCF7|BRIP1--TAF4	MCF7	ctat-LR-fusion	14	TRUE	starF	NA
MCF7|AP001347.6--ANKRD20A11P	MCF7	ctat-LR-fusion	13	FALSE	NA	NA
MCF7|GCN1L1--MSI1	MCF7	ctat-LR-fusion	12	TRUE	starF	NA
A549|RP11-69H14.6--ZNF43	A549	ctat-LR-fusion	11	FALSE	arriba	NA
MCF7|RBM6--BCAR1	MCF7	ctat-LR-fusion	11	FALSE	NA	NA
MCF7|GPR37L1--NAV1	MCF7	ctat-LR-fusion	10	TRUE	starF,arriba	NA
MCF7|CH17-264B6.3--UPK3B	MCF7	ctat-LR-fusion	10	FALSE	NA	NA
MCF7|ABCC1--C16orf45	MCF7	ctat-LR-fusion	8	TRUE	NA	NA
A549|AC026803.1--FTLP2	A549	ctat-LR-fusion	7	FALSE	NA	NA
K562|RP11-6N13.1--CTD-2374C24.1	K562	ctat-LR-fusion	7	FALSE	NA	NA
MCF7|AL512640.1--ASB7	MCF7	ctat-LR-fusion	7	FALSE	NA	NA
MCF7|PRICKLE2--SULF2	MCF7	ctat-LR-fusion	6	TRUE	starF,arriba	NA
A549|ANTXR2--KPNA2	A549	ctat-LR-fusion	6	FALSE	NA	NA
A549|LINC00152--ANAPC1	A549	ctat-LR-fusion	6	FALSE	NA	NA
A549|MIR4435-1HG--ANAPC1	A549	ctat-LR-fusion	6	FALSE	NA	NA
K562|C16orf87--ORC6	K562	ctat-LR-fusion	5	FALSE	starF,arriba	starF,arriba
K562|CEP70--FAIM	K562	ctat-LR-fusion	5	FALSE	NA	starF,arriba
MCF7|ADAMTS19--SLC27A6	MCF7	ctat-LR-fusion	5	TRUE	NA	NA
MCF7|ANKHD1--CYSTM1	MCF7	ctat-LR-fusion	5	FALSE	starF,arriba	NA
MCF7|MSL2--STAG1	MCF7	ctat-LR-fusion	5	FALSE	starF,arriba	NA
MCF7|SGPP2--ULK4	MCF7	ctat-LR-fusion	5	TRUE	NA	NA
MCF7|ATP9A--RP11-347D21.1	MCF7	ctat-LR-fusion	5	FALSE	NA	NA
MCF7|ELP2--CH507-513H4.1	MCF7	ctat-LR-fusion	5	FALSE	NA	NA
MCF7|EIF2B3--PSMC2	MCF7	ctat-LR-fusion	4	FALSE	starF	NA
