proxy_fusion_name	sample	prog	num_reads	validated_fusion	matched_illumina	other_illumina
MCF7|PRICKLE2--RP11-14D22.2	MCF7	ctat-LR-fusion	4	FALSE	starF	NA
A549|NCEH1--MUC13	A549	ctat-LR-fusion	4	FALSE	NA	NA
MCF7|UBE2E2--RP11-20B7.1	MCF7	ctat-LR-fusion	4	FALSE	NA	NA
MCF7|ABCA5--PPP4R1L	MCF7	ctat-LR-fusion	3	TRUE	starF,arriba	NA
MCF7|DENND2C--HIPK1	MCF7	ctat-LR-fusion	3	FALSE	starF,arriba	NA
MCF7|GSE1--RP11-680G10.1	MCF7	ctat-LR-fusion	3	FALSE	starF	NA
MCF7|NOC4L--MICALL2	MCF7	ctat-LR-fusion	3	FALSE	NA	NA
MCF7|PRSS23--SLC35C1	MCF7	ctat-LR-fusion	3	FALSE	NA	NA
MCF7|RP11-977B10.2--SLC16A7	MCF7	ctat-LR-fusion	3	FALSE	NA	NA
MCF7|SBNO2--TPGS1	MCF7	ctat-LR-fusion	3	FALSE	NA	NA
K562|GSE1--RP11-680G10.1	K562	ctat-LR-fusion	2	FALSE	starF	NA
K562|LRCH2--RP5-964N17.1	K562	ctat-LR-fusion	2	FALSE	starF	starF
MCF7|B3GNTL1--SLC9A8	MCF7	ctat-LR-fusion	2	TRUE	NA	NA
MCF7|GABPB2--SETDB1	MCF7	ctat-LR-fusion	2	FALSE	arriba	NA
MCF7|C11orf86--KDM2A	MCF7	ctat-LR-fusion	2	FALSE	starF,arriba	NA
MCF7|NCOA3--ZNF217	MCF7	ctat-LR-fusion	2	FALSE	arriba	NA
A549|DCBLD2--NIT2	A549	ctat-LR-fusion	2	FALSE	NA	NA
A549|MCM7--C9orf3	A549	ctat-LR-fusion	2	FALSE	NA	NA
A549|RP11-977G19.11--CTB-52I2.4	A549	ctat-LR-fusion	2	FALSE	NA	NA
K562|AC026803.1--FTLP2	K562	ctat-LR-fusion	2	FALSE	NA	NA
K562|RPL12--SNHG12	K562	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|COQ2--FAM175A	MCF7	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|CREB3L3--PTAFR	MCF7	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|MSI2--AKAP1	MCF7	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|RP4-813D12.3--RP4-724E16.2	MCF7	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|ULK1--NOC4L	MCF7	ctat-LR-fusion	2	FALSE	NA	NA
MCF7|ATXN7--RAD51C	MCF7	ctat-LR-fusion	1	TRUE	starF,arriba	NA
A549|ABCC3--CDK5RAP3	A549	ctat-LR-fusion	1	FALSE	NA	NA
A549|CD44--PDHX	A549	ctat-LR-fusion	1	FALSE	NA	NA
A549|DTL--INTS7	A549	ctat-LR-fusion	1	FALSE	NA	NA
A549|NRP1--PARD3	A549	ctat-LR-fusion	1	FALSE	NA	NA
A549|LSAMP--RP11-384F7.2	A549	ctat-LR-fusion	1	FALSE	NA	NA
A549|TXNRD1--PHF14	A549	ctat-LR-fusion	1	FALSE	NA	NA
K562|PHF14--VWDE	K562	ctat-LR-fusion	1	FALSE	NA	NA
MCF7|BCAS3--BCAS4	MCF7	JAFFAL	3382	TRUE	starF,arriba	NA
MCF7|AC099850.1--VMP1	MCF7	JAFFAL	592	TRUE	starF,arriba	NA
MCF7|ARFGEF2--SULF2	MCF7	JAFFAL	253	TRUE	starF,arriba	NA
MCF7|NBPF6--SLC25A24	MCF7	JAFFAL	112	TRUE	starF,arriba	NA
MCF7|PICALM--SYTL2	MCF7	JAFFAL	54	TRUE	starF,arriba	NA
MCF7|AHCYL1--RAD51C	MCF7	JAFFAL	47	TRUE	starF,arriba	NA
MCF7|CA4--TANC2	MCF7	JAFFAL	46	FALSE	starF,arriba	NA
MCF7|DIAPH3--RPS6KB1	MCF7	JAFFAL	42	TRUE	NA	NA
MCF7|ATP1A1--ZFP64	MCF7	JAFFAL	38	TRUE	starF	NA
MCF7|AP4B1-AS1--RSBN1	MCF7	JAFFAL	37	TRUE	starF,arriba	NA
MCF7|BCAS4--ZMYND8	MCF7	JAFFAL	34	TRUE	starF	NA
MCF7|ATXN7L3--FAM171A2	MCF7	JAFFAL	26	TRUE	starF,arriba	NA
A549|SCAMP2--WDR72	A549	JAFFAL	25	TRUE	starF,arriba	NA
K562|NUP214--XKR3	K562	JAFFAL	24	TRUE	starF,arriba	starF,arriba
MCF7|GPM6A--SEZ6L2	MCF7	JAFFAL	22	FALSE	starF,arriba	NA
K562|ABL1--BCR	K562	JAFFAL	21	TRUE	starF,arriba	starF,arriba
A549|ACACA--PLXDC1	A549	JAFFAL	20	FALSE	starF,arriba	NA
MCF7|EIF4E2--GIGYF2	MCF7	JAFFAL	18	FALSE	starF,arriba	NA
MCF7|RGS17--TBL1XR1	MCF7	JAFFAL	18	TRUE	starF,arriba	NA
MCF7|FCHO1--MYO9B	MCF7	JAFFAL	15	TRUE	starF,arriba	NA
MCF7|GBF1--MACROD2	MCF7	JAFFAL	11	FALSE	starF,arriba	NA
MCF7|LINC01588--NEMF	MCF7	JAFFAL	11	FALSE	starF,arriba	NA
K562|BAG6--SLC44A4	K562	JAFFAL	9	FALSE	starF,arriba	starF,arriba
MCF7|GCN1L1--MSI1	MCF7	JAFFAL	9	TRUE	starF	NA
MCF7|EMCN--SMARCC1	MCF7	JAFFAL	9	FALSE	starF,arriba	NA
MCF7|LPPR5--RP11-15E18.1	MCF7	JAFFAL	8	FALSE	starF	NA
MCF7|NME1--MBTD1	MCF7	JAFFAL	8	FALSE	NA	NA
MCF7|RBM6--BCAR1	MCF7	JAFFAL	8	FALSE	NA	NA
A549|RP11-69H14.6--ZNF43	A549	JAFFAL	7	FALSE	arriba	NA
MCF7|PRICKLE2--SULF2	MCF7	JAFFAL	6	TRUE	starF,arriba	NA
MCF7|TANC2--TLK2	MCF7	JAFFAL	6	FALSE	starF,arriba	NA
MCF7|ABCC1--C16orf45	MCF7	JAFFAL	5	TRUE	NA	NA
MCF7|CDKN2B-AS1--RP11-145E5.5	MCF7	JAFFAL	5	TRUE	NA	NA
MCF7|ATP9A--RP11-347D21.1	MCF7	JAFFAL	5	FALSE	NA	NA
MCF7|ADAMTS19--SLC27A6	MCF7	JAFFAL	4	TRUE	NA	NA
MCF7|NCOA3--ZNF217	MCF7	JAFFAL	4	FALSE	arriba	NA
K562|C16orf87--ORC6	K562	JAFFAL	3	FALSE	starF,arriba	starF,arriba
MCF7|GPR37L1--NAV1	MCF7	JAFFAL	3	TRUE	starF,arriba	NA
MCF7|BCAS3--PARD6B	MCF7	JAFFAL	3	FALSE	starF	NA
MCF7|BRIP1--TAF4	MCF7	JAFFAL	3	TRUE	starF	NA
A549|RP11-983G14.1--ZNF43	A549	JAFFAL	3	FALSE	NA	NA
MCF7|SBNO2--TPGS1	MCF7	JAFFAL	3	FALSE	NA	NA
MCF7|ZKSCAN5--ARPC1A	MCF7	JAFFAL	3	FALSE	NA	NA
K562|CEP70--FAIM	K562	JAFFAL	2	FALSE	NA	starF,arriba
MCF7|B3GNTL1--SLC9A8	MCF7	JAFFAL	2	TRUE	NA	NA
MCF7|DENND2C--HIPK1	MCF7	JAFFAL	2	FALSE	starF,arriba	NA
MCF7|SGPP2--ULK4	MCF7	JAFFAL	2	TRUE	NA	NA
A549|ELP2--FHOD3	A549	JAFFAL	2	FALSE	NA	NA
A549|MIR4435-1HG--ANAPC1	A549	JAFFAL	2	FALSE	NA	NA
A549|NCEH1--MUC13	A549	JAFFAL	2	FALSE	NA	NA
K562|PSMB7--MAPKAP1	K562	JAFFAL	2	FALSE	NA	NA
K562|RPL12--SNHG12	K562	JAFFAL	2	FALSE	NA	NA
MCF7|RP11-977B10.2--SLC16A7	MCF7	JAFFAL	2	FALSE	NA	NA
MCF7|UBE2E2--RP11-20B7.1	MCF7	JAFFAL	2	FALSE	NA	NA
A549|CNIH1--KTN1	A549	JAFFAL	1	FALSE	NA	NA
MCF7|BCAS3--BCAS4	MCF7	LongGF	1947	TRUE	starF,arriba	NA
MCF7|ARFGEF2--SULF2	MCF7	LongGF	264	TRUE	starF,arriba	NA
MCF7|NBPF6--SLC25A24	MCF7	LongGF	99	TRUE	starF,arriba	NA
K562|BAG6--SLC44A4	K562	LongGF	56	FALSE	starF,arriba	starF,arriba
MCF7|PICALM--SYTL2	MCF7	LongGF	41	TRUE	starF,arriba	NA
MCF7|ATXN7L3--FAM171A2	MCF7	LongGF	24	TRUE	starF,arriba	NA
MCF7|AHCYL1--RAD51C	MCF7	LongGF	22	TRUE	starF,arriba	NA
MCF7|DIAPH3--RPS6KB1	MCF7	LongGF	21	TRUE	NA	NA
MCF7|RSBN1--VAV3	MCF7	LongGF	21	FALSE	arriba	NA
MCF7|CA4--TANC2	MCF7	LongGF	20	FALSE	starF,arriba	NA
A549|SCAMP2--WDR72	A549	LongGF	13	TRUE	starF,arriba	NA
K562|ABL1--BCR	K562	LongGF	13	TRUE	starF,arriba	starF,arriba
MCF7|BMP7--SULF2	MCF7	LongGF	12	FALSE	arriba	NA
MCF7|ATP1A1--ZFP64	MCF7	LongGF	12	TRUE	starF	NA
MCF7|EMCN--SMARCC1	MCF7	LongGF	11	FALSE	starF,arriba	NA
MCF7|BCAS4--ZMYND8	MCF7	LongGF	11	TRUE	starF	NA
MCF7|RGS17--TBL1XR1	MCF7	LongGF	10	TRUE	starF,arriba	NA
K562|NUP214--XKR3	K562	LongGF	9	TRUE	starF,arriba	starF,arriba
MCF7|RBM6--BCAR1	MCF7	LongGF	9	FALSE	NA	NA
MCF7|EIF4E2--GIGYF2	MCF7	LongGF	8	FALSE	starF,arriba	NA
MCF7|FCHO1--MYO9B	MCF7	LongGF	8	TRUE	starF,arriba	NA
MCF7|TANC2--TLK2	MCF7	LongGF	8	FALSE	starF,arriba	NA
MCF7|GBF1--MACROD2	MCF7	LongGF	7	FALSE	starF,arriba	NA
A549|ACACA--PLXDC1	A549	LongGF	6	FALSE	starF,arriba	NA
MCF7|ABCC1--C16orf45	MCF7	LongGF	6	TRUE	NA	NA
K562|RP11-255H23.2--COMMD1	K562	LongGF	6	FALSE	NA	NA
MCF7|BRIP1--ZNF217	MCF7	LongGF	6	FALSE	NA	NA
MCF7|GCN1L1--MSI1	MCF7	LongGF	5	TRUE	starF	NA
A549|RPS13--RPL23	A549	LongGF	5	FALSE	NA	NA
A549|ABHD2--VAPA	A549	LongGF	5	FALSE	NA	NA
K562|MED15--RPL14	K562	LongGF	5	FALSE	NA	NA
MCF7|EIF1--RPL35	MCF7	LongGF	5	FALSE	NA	NA
MCF7|BRIP1--TAF4	MCF7	LongGF	4	TRUE	starF	NA
A549|CAPNS1--FTH1	A549	LongGF	4	FALSE	NA	NA
A549|CLU--KRT7	A549	LongGF	4	FALSE	NA	NA
K562|RPL14--TBP	K562	LongGF	4	FALSE	NA	NA
MCF7|RPLP2--SLC35F2	MCF7	LongGF	4	FALSE	NA	NA
MCF7|AFF4--HSPA4	MCF7	LongGF	3	FALSE	arriba	NA
MCF7|FNDC3B--PLOD2	MCF7	LongGF	3	FALSE	arriba	NA
MCF7|SGPP2--ULK4	MCF7	LongGF	3	TRUE	NA	NA
A549|BCAS4--TMSB4X	A549	LongGF	3	FALSE	NA	NA
A549|CLEC2D--NPM1	A549	LongGF	3	FALSE	NA	NA
A549|COPS6--EIF1	A549	LongGF	3	FALSE	NA	NA
A549|MGST1--NME2	A549	LongGF	3	FALSE	NA	NA
A549|LDHA--MKKS	A549	LongGF	3	FALSE	NA	NA
A549|NCEH1--MUC13	A549	LongGF	3	FALSE	NA	NA
A549|EIF1--RPL35	A549	LongGF	3	FALSE	NA	NA
A549|NME1--RPS19	A549	LongGF	3	FALSE	NA	NA
K562|E2F4--RPL14	K562	LongGF	3	FALSE	NA	NA
MCF7|RP11-255H23.2--COMMD1	MCF7	LongGF	3	FALSE	NA	NA
MCF7|FTH1--COPS6	MCF7	LongGF	3	FALSE	NA	NA
MCF7|NIF3L1--ORC2	MCF7	LongGF	3	FALSE	NA	NA
MCF7|SBNO2--TPGS1	MCF7	LongGF	3	FALSE	NA	NA
MCF7|ZKSCAN5--ARPC1A	MCF7	LongGF	3	FALSE	NA	NA
K562|CEP70--FAIM	K562	LongGF	2	FALSE	NA	starF,arriba
K562|C16orf87--ORC6	K562	LongGF	2	FALSE	starF,arriba	starF,arriba
MCF7|B3GNTL1--SLC9A8	MCF7	LongGF	2	TRUE	NA	NA
MCF7|DSCAML1--TRAPPC4	MCF7	LongGF	2	FALSE	arriba	NA
MCF7|EIF2B3--PSMC2	MCF7	LongGF	2	FALSE	starF	NA
MCF7|GPR37L1--NAV1	MCF7	LongGF	2	TRUE	starF,arriba	NA
MCF7|BCAS3--PARD6B	MCF7	LongGF	2	FALSE	starF	NA
MCF7|ADAMTS19--SLC27A6	MCF7	LongGF	2	TRUE	NA	NA
MCF7|PPM1D--USP32	MCF7	LongGF	2	FALSE	arriba	NA
A549|ALDH1A1--ANXA2	A549	LongGF	2	FALSE	NA	NA
A549|BLVRB--RPS23	A549	LongGF	2	FALSE	NA	NA
A549|RP11-255H23.2--COMMD1	A549	LongGF	2	FALSE	NA	NA
A549|CYP24A1--C9orf3	A549	LongGF	2	FALSE	NA	NA
A549|ELP2--FHOD3	A549	LongGF	2	FALSE	NA	NA
A549|CTR9--RAP1B	A549	LongGF	2	FALSE	NA	NA
A549|ANXA2--RPL31	A549	LongGF	2	FALSE	NA	NA
A549|CAND2--PPIA	A549	LongGF	2	FALSE	NA	NA
A549|TRPA1--MSC	A549	LongGF	2	FALSE	NA	NA
K562|BCAS4--TMSB4X	K562	LongGF	2	FALSE	NA	NA
K562|PSMB7--MAPKAP1	K562	LongGF	2	FALSE	NA	NA
K562|RPS5--DSE	K562	LongGF	2	FALSE	NA	NA
K562|UNC50--HINT1	K562	LongGF	2	FALSE	NA	NA
MCF7|COQ2--FAM175A	MCF7	LongGF	2	FALSE	NA	NA
MCF7|GRM2--IP6K1	MCF7	LongGF	2	FALSE	NA	NA
MCF7|NOC4L--MICALL2	MCF7	LongGF	2	FALSE	NA	NA
MCF7|PFN1--UBB	MCF7	LongGF	2	FALSE	NA	NA
MCF7|RPS5--DSE	MCF7	LongGF	2	FALSE	NA	NA
MCF7|COMMD1--RPSA	MCF7	LongGF	2	FALSE	NA	NA
MCF7|RTCB--FAM19A5	MCF7	LongGF	2	FALSE	NA	NA
MCF7|ABHD2--VAPA	MCF7	LongGF	2	FALSE	NA	NA
K562|ALDOC--PHF12	K562	LongGF	1	FALSE	arriba	NA
MCF7|BEND7--PRPF18	MCF7	LongGF	1	FALSE	arriba	NA
MCF7|DHX30--EMCN	MCF7	LongGF	1	FALSE	arriba	NA
MCF7|NCOA3--ZNF217	MCF7	LongGF	1	FALSE	arriba	NA
MCF7|GABPB2--SETDB1	MCF7	LongGF	1	FALSE	arriba	NA
A549|SARNP--PTCD1	A549	LongGF	1	FALSE	NA	NA
A549|CRK--TOR1AIP2	A549	LongGF	1	FALSE	NA	NA
A549|DTL--INTS7	A549	LongGF	1	FALSE	NA	NA
A549|EEF1D--TMA7	A549	LongGF	1	FALSE	NA	NA
A549|ENO1--RPLP1	A549	LongGF	1	FALSE	NA	NA
A549|ENTPD4--TAPBP	A549	LongGF	1	FALSE	NA	NA
A549|GSTP1--TAF15	A549	LongGF	1	FALSE	NA	NA
A549|HNRNPUL1--UBA52	A549	LongGF	1	FALSE	NA	NA
A549|CBX5--LAPTM4A	A549	LongGF	1	FALSE	NA	NA
A549|MTHFD1--SNRPB	A549	LongGF	1	FALSE	NA	NA
A549|TXNRD1--PHF14	A549	LongGF	1	FALSE	NA	NA
A549|RP11-296A16.1--TIMM13	A549	LongGF	1	FALSE	NA	NA
A549|UBE3A--SNURF	A549	LongGF	1	FALSE	NA	NA
A549|URI1--ACTN4	A549	LongGF	1	FALSE	NA	NA
K562|CSDE1--ZNF354C	K562	LongGF	1	FALSE	NA	NA
K562|DCAF4--RPL36	K562	LongGF	1	FALSE	NA	NA
K562|DOCK8--TLN1	K562	LongGF	1	FALSE	NA	NA
K562|RP11-950C14.7--EZH1	K562	LongGF	1	FALSE	NA	NA
K562|FTL--GAPDH	K562	LongGF	1	FALSE	NA	NA
K562|HNRNPL--SH3BGRL3	K562	LongGF	1	FALSE	NA	NA
K562|NSUN5--TRIM73	K562	LongGF	1	FALSE	NA	NA
K562|PHF14--VWDE	K562	LongGF	1	FALSE	NA	NA
K562|RPS6KC1--PROSC	K562	LongGF	1	FALSE	NA	NA
K562|HBG2--RTN4	K562	LongGF	1	FALSE	NA	NA
K562|SLC35F2--RPLP2	K562	LongGF	1	FALSE	NA	NA
MCF7|CLEC2D--NPM1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|COL5A3--DAPK3	MCF7	LongGF	1	FALSE	NA	NA
MCF7|CRHR2--INMT-FAM188B	MCF7	LongGF	1	FALSE	NA	NA
MCF7|ELP2--SLC39A6	MCF7	LongGF	1	FALSE	NA	NA
MCF7|GINM1--NQO1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|IFT52--PHTF1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|KRT18--EEF1A1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|MRPL51--RPL30	MCF7	LongGF	1	FALSE	NA	NA
MCF7|PAIP2--SF1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|TRPS1--EIF3H	MCF7	LongGF	1	FALSE	NA	NA
MCF7|ZNF706--DEGS1	MCF7	LongGF	1	FALSE	NA	NA
MCF7|BCAS3--BCAS4	MCF7	fusionseeker	3590	TRUE	starF,arriba	NA
K562|TXNRD1--RPL18A	K562	fusionseeker	1142	FALSE	NA	NA
MCF7|TXNRD1--RPL18A	MCF7	fusionseeker	1136	FALSE	NA	NA
MCF7|PTMA--DTWD2	MCF7	fusionseeker	1021	FALSE	NA	NA
MCF7|AC099850.1--VMP1	MCF7	fusionseeker	1008	TRUE	starF,arriba	NA
MCF7|RBFOX2--IL6ST	MCF7	fusionseeker	926	FALSE	NA	NA
MCF7|STEAP1B--EEF1A1P5	MCF7	fusionseeker	787	FALSE	NA	NA
K562|PCNP--RPS18	K562	fusionseeker	664	FALSE	NA	NA
MCF7|EEF1A1--STEAP1B	MCF7	fusionseeker	651	FALSE	NA	NA
MCF7|SMOC1--RPL7A	MCF7	fusionseeker	606	FALSE	NA	NA
MCF7|RP11-511B23.2--RBFOX2	MCF7	fusionseeker	554	FALSE	NA	NA
MCF7|RPS15A--KIZ	MCF7	fusionseeker	539	FALSE	NA	NA
MCF7|CAND2--NUDCD3	MCF7	fusionseeker	532	FALSE	NA	NA
MCF7|RPL41--RBFOX2	MCF7	fusionseeker	523	FALSE	NA	NA
MCF7|RPS25--CTD-2287O16.3	MCF7	fusionseeker	506	FALSE	NA	NA
MCF7|PCNP--RPS18	MCF7	fusionseeker	503	FALSE	NA	NA
MCF7|RPS2--AC004448.5	MCF7	fusionseeker	488	FALSE	NA	NA
MCF7|SULF2--ZNF217	MCF7	fusionseeker	485	FALSE	arriba	NA
MCF7|AMBRA1--RPS10	MCF7	fusionseeker	469	FALSE	NA	NA
MCF7|NKIRAS1--RPL15P3	MCF7	fusionseeker	460	FALSE	NA	NA
MCF7|RBFOX2--DGKI	MCF7	fusionseeker	460	FALSE	NA	NA
K562|AMBRA1--RPS10	K562	fusionseeker	418	FALSE	NA	NA
MCF7|CCSER1--TMSB4X	MCF7	fusionseeker	412	FALSE	NA	NA
K562|EEF1A1--STEAP1B	K562	fusionseeker	404	FALSE	NA	NA
K562|WDR47--C18orf32	K562	fusionseeker	380	FALSE	NA	NA
A549|TXNRD1--RPL18A	A549	fusionseeker	375	FALSE	NA	NA
MCF7|EEF1B2--POLA1	MCF7	fusionseeker	374	FALSE	NA	NA
A549|RBFOX2--IL6ST	A549	fusionseeker	344	FALSE	NA	NA
A549|EEF1B2--POLA1	A549	fusionseeker	342	FALSE	NA	NA
MCF7|RPLP0--AC016995.3	MCF7	fusionseeker	326	FALSE	NA	NA
MCF7|ARFGEF2--SULF2	MCF7	fusionseeker	315	TRUE	starF,arriba	NA
A549|WDR47--C18orf32	A549	fusionseeker	312	FALSE	NA	NA
MCF7|RPL41--IL6ST	MCF7	fusionseeker	312	FALSE	NA	NA
A549|PTMA--DTWD2	A549	fusionseeker	303	FALSE	NA	NA
K562|RBFOX2--IL6ST	K562	fusionseeker	300	FALSE	NA	NA
A549|CCSER1--TMSB4X	A549	fusionseeker	283	FALSE	NA	NA
MCF7|PTPRG--RPL10A	MCF7	fusionseeker	282	FALSE	NA	NA
K562|STEAP1B--EEF1A1P5	K562	fusionseeker	281	FALSE	NA	NA
MCF7|IL6ST--DGKI	MCF7	fusionseeker	281	FALSE	NA	NA
MCF7|RP11-192H23.4--RPS7	MCF7	fusionseeker	267	FALSE	NA	NA
MCF7|RP11-511B23.2--IL6ST	MCF7	fusionseeker	266	FALSE	NA	NA
MCF7|TAOK3--RPS2	MCF7	fusionseeker	264	FALSE	NA	NA
A549|FAM172A--NPM1	A549	fusionseeker	260	FALSE	NA	NA
K562|NKIRAS1--RPL15P3	K562	fusionseeker	253	FALSE	NA	NA
A549|SMOC1--RPL7A	A549	fusionseeker	251	FALSE	NA	NA
K562|CAND2--NUDCD3	K562	fusionseeker	251	FALSE	NA	NA
MCF7|AMBRA1--RPS10-NUDT3	MCF7	fusionseeker	239	FALSE	NA	NA
A549|EEF1A1--STEAP1B	A549	fusionseeker	237	FALSE	NA	NA
MCF7|ZYG11B--RPS13	MCF7	fusionseeker	237	FALSE	NA	NA
MCF7|RPL7P9--CSF1R	MCF7	fusionseeker	234	FALSE	NA	NA
K562|SMOC1--RPL7A	K562	fusionseeker	233	FALSE	NA	NA
MCF7|OOEP--RPL39	MCF7	fusionseeker	232	FALSE	NA	NA
A549|RP11-511B23.2--RBFOX2	A549	fusionseeker	228	FALSE	NA	NA
A549|RP11-192H23.4--RPS7	A549	fusionseeker	223	FALSE	NA	NA
MCF7|RPL41P1--RBFOX2	MCF7	fusionseeker	221	FALSE	NA	NA
MCF7|WDR47--C18orf32	MCF7	fusionseeker	216	FALSE	NA	NA
A549|RPL41--RBFOX2	A549	fusionseeker	211	FALSE	NA	NA
K562|RP11-511B23.2--RBFOX2	K562	fusionseeker	210	FALSE	NA	NA
A549|NKIRAS1--RPL15P3	A549	fusionseeker	203	FALSE	NA	NA
K562|RPS15A--KIZ	K562	fusionseeker	201	FALSE	NA	NA
MCF7|UBE2Q2P2--APOO	MCF7	fusionseeker	201	FALSE	NA	NA
