prog	min_reads	min_progs_agree	AUC
pbfusion	1	2	0.76
LongGF	1	2	0.54
fusionseeker	1	2	0.48
ctat-LR-fusion	1	2	0.35
JAFFAL	1	2	0.29
LongGF	1	3	0.76
pbfusion	1	3	0.73
ctat-LR-fusion	1	3	0.55
JAFFAL	1	3	0.46
fusionseeker	1	3	0.37
pbfusion	2	2	0.71
LongGF	2	2	0.67
JAFFAL	2	2	0.61
ctat-LR-fusion	2	2	0.57
fusionseeker	2	2	0.37
pbfusion	2	3	0.8
LongGF	2	3	0.78
JAFFAL	2	3	0.71
ctat-LR-fusion	2	3	0.67
fusionseeker	2	3	0.36
ctat-LR-fusion	3	2	0.75
fusionseeker	3	2	0.66
JAFFAL	3	2	0.64
pbfusion	3	2	0.63
LongGF	3	2	0.62
ctat-LR-fusion	3	3	0.89
JAFFAL	3	3	0.77
pbfusion	3	3	0.75
fusionseeker	3	3	0.71
LongGF	3	3	0.68
ctat-LR-fusion	4	2	0.79
fusionseeker	4	2	0.71
JAFFAL	4	2	0.67
pbfusion	4	2	0.66
LongGF	4	2	0.65
ctat-LR-fusion	4	3	0.9
JAFFAL	4	3	0.78
pbfusion	4	3	0.78
fusionseeker	4	3	0.75
LongGF	4	3	0.69
ctat-LR-fusion	5	2	0.83
JAFFAL	5	2	0.75
fusionseeker	5	2	0.74
pbfusion	5	2	0.69
LongGF	5	2	0.67
ctat-LR-fusion	5	3	0.91
JAFFAL	5	3	0.82
fusionseeker	5	3	0.79
pbfusion	5	3	0.78
LongGF	5	3	0.74
ctat-LR-fusion	6	2	0.86
fusionseeker	6	2	0.77
JAFFAL	6	2	0.74
LongGF	6	2	0.69
pbfusion	6	2	0.69
ctat-LR-fusion	6	3	0.92
JAFFAL	6	3	0.8
fusionseeker	6	3	0.79
pbfusion	6	3	0.77
LongGF	6	3	0.74
ctat-LR-fusion	7	2	0.88
fusionseeker	7	2	0.79
JAFFAL	7	2	0.75
pbfusion	7	2	0.72
LongGF	7	2	0.7
ctat-LR-fusion	7	3	0.93
JAFFAL	7	3	0.81
fusionseeker	7	3	0.81
LongGF	7	3	0.77
pbfusion	7	3	0.77
ctat-LR-fusion	8	2	0.89
fusionseeker	8	2	0.81
JAFFAL	8	2	0.75
LongGF	8	2	0.71
pbfusion	8	2	0.7
ctat-LR-fusion	8	3	0.94
fusionseeker	8	3	0.82
JAFFAL	8	3	0.81
LongGF	8	3	0.77
pbfusion	8	3	0.77
ctat-LR-fusion	9	2	0.88
fusionseeker	9	2	0.79
JAFFAL	9	2	0.74
LongGF	9	2	0.7
pbfusion	9	2	0.69
ctat-LR-fusion	9	3	0.95
JAFFAL	9	3	0.82
fusionseeker	9	3	0.81
LongGF	9	3	0.78
pbfusion	9	3	0.76
ctat-LR-fusion	10	2	0.88
fusionseeker	10	2	0.79
JAFFAL	10	2	0.73
LongGF	10	2	0.71
pbfusion	10	2	0.71
ctat-LR-fusion	10	3	0.94
JAFFAL	10	3	0.8
fusionseeker	10	3	0.8
LongGF	10	3	0.78
pbfusion	10	3	0.77
ctat-LR-fusion	1	4	0.96
JAFFAL	1	4	0.87
LongGF	1	4	0.7
pbfusion	1	4	0.57
fusionseeker	1	4	0.23
LongGF	2	4	0.88
pbfusion	2	4	0.81
JAFFAL	2	4	0.79
ctat-LR-fusion	2	4	0.7
fusionseeker	2	4	0.35
ctat-LR-fusion	3	4	0.93
JAFFAL	3	4	0.87
LongGF	3	4	0.82
pbfusion	3	4	0.79
fusionseeker	3	4	0.75
ctat-LR-fusion	4	4	0.93
JAFFAL	4	4	0.89
LongGF	4	4	0.82
fusionseeker	4	4	0.78
pbfusion	4	4	0.78
ctat-LR-fusion	5	4	0.93
JAFFAL	5	4	0.89
LongGF	5	4	0.86
fusionseeker	5	4	0.8
pbfusion	5	4	0.78
ctat-LR-fusion	6	4	0.95
JAFFAL	6	4	0.89
LongGF	6	4	0.87
fusionseeker	6	4	0.82
pbfusion	6	4	0.75
ctat-LR-fusion	7	4	0.97
JAFFAL	7	4	0.9
LongGF	7	4	0.88
fusionseeker	7	4	0.84
pbfusion	7	4	0.76
ctat-LR-fusion	8	4	0.97
JAFFAL	8	4	0.89
LongGF	8	4	0.88
fusionseeker	8	4	0.84
pbfusion	8	4	0.76
ctat-LR-fusion	9	4	0.97
JAFFAL	9	4	0.9
LongGF	9	4	0.89
fusionseeker	9	4	0.82
pbfusion	9	4	0.77
ctat-LR-fusion	10	4	0.97
JAFFAL	10	4	0.9
LongGF	10	4	0.88
fusionseeker	10	4	0.82
pbfusion	10	4	0.76
